SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,Investorname,InvestmentnType,AmountinUSD,Remarks,State
0,05-09-2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000,,Maharashtra
1,04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series ,3300000,,Maharashtra
2,04-09-2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000,,Maharashtra
3,04-09-2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Private Equity Round,5000000,,Telangana
4,04-09-2019,75F,IoT,Building automation system,Mumbai,Breakthrough Energy Ventures,Series ,18000000,,Maharashtra
5,04-09-2019,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Seed Funding,1000000,,Karnataka
6,04-09-2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series ,10000000,,Maharashtra
7,04-09-2019,GOQii,Health and Wellness,Wearable Fitness Bands,Mumbai,Bennett Coleman and Company Ltd (BCCL),Series ,450000000,,Maharashtra
8,03-09-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series ,5000000,,Karnataka
10,01-08-2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series ,20000000,nan,Haryana
11,01-08-2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series ,5000000,nan,Delhi
12,01-08-2019,MyPetrolPump,Retail,Fuel Delivery,Bangalore,,Seed Round,1600000,nan,Karnataka
13,01-08-2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000,nan,Maharashtra
14,01-08-2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000,nan,Uttar Pradesh
15,12-08-2019,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series ,125000000,nan,Karnataka
16,13-08-2019,Cars24,E-Commerce,Car Retail,Gurgaon,MS Dhoni,Series ,11000000,nan,Haryana
17,13-08-2019,Uniphore,Customer Service Platform,Conversational AI,New Delhi,March Capital Partners,Series ,51000000,nan,Delhi
18,23-08-2019,Zendrive,Automotive,Road Safety Analytics,Mumbai,XL Innovate,Series ,37000000,nan,Maharashtra
19,23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000,nan,Karnataka
20,23-08-2019,Tala,FinTech,Digital Lending Platform,Mumbai,RPS Ventures,Series ,110000000,nan,Maharashtra
21,22-08-2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000,nan,Haryana
22,21-08-2019,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series ,6590000,nan,Karnataka
23,23-08-2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000000,nan,Uttar Pradesh
24,19-08-2019,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series ,N/A,nan,Haryana
25,19-08-2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series ,70000000,nan,Haryana
26,27-08-2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series ,3900000000,nan,Karnataka
27,02-07-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series ,19000000,nan,Haryana
28,02-07-2019,Atlan,Information Technology,Big Data,Pune,WaterBridge Ventures,Private Equity Round,2500000,nan,Maharashtra
29,01-07-2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000,nan,Delhi
30,03-07-2019,Ola Cabs,Transport,Cabs,Kolkata,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series ,1000000,nan,West Bengal
31,01-07-2019,Uniphore,Artificial Intelligence,Speech Recognition,Udaipur,March Capital Partners,Series ,38080000,nan,rajasthan
32,04-07-2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000,nan,Delhi
33,10-07-2019,"""BYJU\\'S""",EdTech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,150000000,nan,Karnataka
34,11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Pune,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series ,60000000,nan,Maharashtra
35,10-07-2019,Ezyhaul,Tech,Logistics,Pune,Undisclosed Investors,Series ,16000000,nan,Maharashtra
36,10-07-2019,Indus OS,Tech,Smartphone Operating System,Mumbai,Ventureast,Series ,5750000,nan,Maharashtra
37,10-07-2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series ,2500000,nan,Maharashtra
38,09-07-2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series ,1000000,nan,Maharashtra
39,08-07-2019,Board Infinity,EdTech,Full-stack career platform,Mumbai,Multiple Angel Investors,Angel Round,319605,nan,Maharashtra
40,05-06-2019,NoBroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series ,51000000,nan,Karnataka
41,04-06-2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt,10000000,nan,Delhi
42,03-06-2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Debt,4889975.54,nan,Haryana
43,03-06-2019,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series ,9000000,nan,Karnataka
44,04-06-2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series ,75000000,nan,Delhi
45,04-06-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Private Equity Round,26000000,nan,Telangana
46,03-06-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,Private Equity Round,2500000,nan,Karnataka
47,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Mumbai,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Debt,2739034.68,nan,Maharashtra
48,06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series ,26000000,nan,Delhi
49,06-06-2019,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series ,15109500,nan,Karnataka
50,10-06-2019,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,430200,nan,Karnataka
51,10-06-2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series ,15500000,nan,Haryana
52,06-06-2019,Biz2Credit,FinTech,Online Lending Platform,New Delhi,WestBridge Capital,Series ,52000000,nan,Delhi
53,08-06-2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Hyderabad,Alteria Capital,Debt,3584000,nan,Telangana
54,04-06-2019,Leegality,Services,Digital Documentation,Mumbai,Mumbai Angels,Series ,3400000,nan,Maharashtra
55,06-05-2019,Ola Electric,Transport,Cabs,Bangalore,Tata Sons,Series ,N/A,nan,Karnataka
56,06-05-2019,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture Round,868600,nan,Karnataka
57,05-05-2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,N/A,nan,Delhi
58,01-05-2019,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series ,150000000,nan,Karnataka
59,02-05-2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series ,50000000,nan,Telangana
60,28-05-2019,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series ,51000000,nan,Karnataka
61,28-05-2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000,nan,Maharashtra
62,30-05-2019,GlowRoad,E-commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series ,11500000,nan,Karnataka
63,31-05-2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series ,5600000,nan,Delhi
64,16-04-2019,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series ,45000000,nan,Karnataka
65,12-04-2019,Medlife,E-commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity Round,17000000,nan,Karnataka
66,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity Round,430665,nan,Madhya Pradesh
67,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series ,3591375,nan,Delhi
68,12-04-2019,Azah,Health and Wellness,Organic wellness,Gurgaon,Unnamed angel investors,Seed Funding,200000,nan,Haryana
69,11-04-2019,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,3500000,nan,Karnataka
70,10-04-2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt,6320820,nan,Maharashtra
71,10-04-2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495,nan,Maharashtra
72,10-04-2019,Unacademy,Edtech,E-learning,Bangalore,Kalyan Krishnamurthy,Angel Funding,307000,nan,Karnataka
73,11-04-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series ,26000000,nan,Maharashtra
74,19-04-2019,My Healthcare,E-commerce,Software Solutions,Bangalore,Sixth Sense Ventures,Series ,3000000,nan,Karnataka
75,19-04-2019,KrazyBee,E-commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000,nan,Karnataka
76,17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurgaon,New Atlantic Ventures,Venture Round,5000000,nan,Haryana
77,17-04-2019,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series ,3000000,nan,Karnataka
78,01-02-2019,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Private Equity Round,N/A,nan,Haryana
79,08-02-2019,Zilingo,Ecommerce,Fashion & Apparel,Mumbai,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series ,226000000,nan,Maharashtra
80,13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series ,600000,nan,Delhi
81,14-02-2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100000000,nan,Haryana
82,03-01-2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series ,110000000,nan,Rajasthan
83,04-01-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,Mumbai,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series ,22000000,nan,Maharashtra
84,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt,5000000,nan,Tamil Nadu
85,04-12-2018,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000,nan,Delhi
86,01-12-2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series ,50000000,nan,Delhi
87,02-12-2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Private Equity Round,800000,nan,Maharashtra
88,02-12-2018,Career Anna,Online Education,"Video-based certification, trainings",Gurgaon,Individual Investors,Private Equity Round,572000,nan,Haryana
89,04-12-2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000,nan,Maharashtra
90,06-12-2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000,nan,Madhya Pradesh
91,06-12-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series ,3500000,nan,Haryana
92,01-11-2018,GoDesi,Food and Beverage,Regional Flavours,Bangalore,Lead Angels Network,Angel Funding,138995,nan,Karnataka
93,03-11-2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series ,27799000,nan,Tamil Nadu
94,06-11-2018,Meesho,Ecommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series ,50000000,nan,Karnataka
95,08-11-2018,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed Investors,Series ,500000,nan,Karnataka
96,08-11-2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000,nan,Rajasthan
97,12-11-2018,Blackbuck,Food Tech,POS For Online Ordering,New Delhi,Tiger Global,Series ,1000000,nan,Delhi
98,12-11-2018,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series ,1300000,nan,Delhi
99,13-11-2018,DriveU,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,1000000,nan,Karnataka
100,14-11-2018,CleanseCar,Services,Car Wash,Bangalore,Venture Catalysts,Angel Funding,500000,nan,Karnataka
101,19-11-2018,Automation Anywhere,Automation,Robotics,Mumbai,SoftBank Vision Fund,Series ,300000000,nan,Maharashtra
102,20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series ,6000000,nan,Karnataka
103,21-11-2018,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,278000,nan,Uttar Pradesh
104,22-11-2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity,31000000,nan,Maharashtra
105,22-11-2018,Skillbox,Social Network,Art,Gurgaon,Individual investors,Seed Funding,N/A,nan,Haryana
106,23-11-2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series ,3400000,nan,Maharashtra
107,24-11-2018,Engineer.ai,Software,AI Platform,Mumbai,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series ,29500000,nan,Maharashtra
108,25-11-2018,InCred Finance,Finance,SME Lending,Mumbai,"Paragon Partners, Individual Investors",Private Equity Round,42000000,nan,Maharashtra
109,25-11-2018,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series ,1700000,nan,Delhi
110,01-10-2018,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Angel Funding,N/A,nan,Delhi
111,02-10-2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Angel Funding,11000000,nan,Telangana
112,04-10-2018,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity Round,8200000,nan,Maharashtra
113,05-10-2018,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series ,3000000,nan,Haryana
114,11-10-2018,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Private Equity Round,4000000,nan,Delhi
115,12-10-2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Equity Round,14680000,nan,Karnataka
116,12-10-2018,LetsTransport,Logistics Tech,Book Trucks Online,Bangalore,Fosun International,Series ,12000000,nan,Karnataka
117,01-09-2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity Round,35000000,nan,Tamil Nadu
118,03-09-2018,Udaan,B2B Platform,Logistics and Shipping,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity Round,225000000,nan,Karnataka
119,03-09-2018,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bangalore,Falcon Edge,Private Equity Round,6390000,nan,Karnataka
120,04-09-2018,3HCare,Healthcare,Healthcare Service Provider,Delhi,N/A,Seed Funding,1000000,nan,Delhi
121,04-09-2018,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurgaon,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity Round,N/A,nan,Haryana
122,05-09-2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity Round,157200000,nan,Maharashtra
123,05-09-2018,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity Round,N/A,nan,Tamil Nadu
124,06-09-2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity Round,100000000,nan,Maharashtra
125,10-09-2018,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurgaon,Stellaris Ventures & Others,Private Equity Round,4000000,nan,Haryana
126,11-09-2018,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity Round,32000000,nan,Karnataka
127,11-09-2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt,5500000,nan,Maharashtra
128,11-09-2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity Round,5000000,nan,Maharashtra
129,12-09-2018,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity Round,30000000,nan,Maharashtra
131,01-08-2018,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Angel Funding,400000,nan,Karnataka
132,01-08-2018,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Angel Funding,N/A,nan,Maharashtra
133,02-08-2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity Round,7000000,nan,Telangana
134,03-08-2018,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurgaon,Y Combinator,Private Equity Round,120000,nan,Haryana
135,07-08-2018,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,N/A,Angel Funding,1000000,nan,Maharashtra
136,07-08-2018,ShopX,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung Strategic Holdings,Private Equity Round,35000000,nan,Karnataka
137,07-08-2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurgaon,MakeMyTrip Limited,Private Equity Round,10000000,nan,Haryana
138,08-08-2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Bangalore,Vertex Ventures,Angel Funding,4000000,nan,Karnataka
139,08-08-2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity Round,12200000,nan,Karnataka
140,08-08-2018,Phone Pe,Consumer Internet,UPI Payments App,Bangalore,Flipkart,Private Equity Round,66000000,nan,Karnataka
141,09-08-2018,quizizz,Ed-Tech,e-learning Platform,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Angel Funding,3000000,nan,Karnataka
142,09-08-2018,Happy EMI,Fin-Tech,Consumer Financing Platform,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Angel Funding,1000000,nan,Karnataka
143,13-08-2018,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Angel Funding,4000000,nan,Tamil Nadu
144,13-08-2018,Observe AI,Technology,AI Based Solutions Platform,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity Round,8000000,nan,Karnataka
145,16-08-2018,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,N/A,Angel Funding,114811,nan,Gujarat
146,17-08-2018,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurgaon,Denlow Investment Trust and Beenext,Private Equity Round,5850000,nan,Haryana
147,20-08-2018,Finzy,Finance,Online Loan Matchmaking Platform,Bangalore,N/A,Seed Funding,1000000,nan,Karnataka
148,20-08-2018,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt,4800000,nan,Maharashtra
149,22-08-2018,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bangalore,CDC Group plc\\xc2\\xa0,Private Equity Round,6000000,nan,Karnataka
150,22-08-2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity Round,14270000,nan,Haryana
151,26-08-2018,ZestMoney,Consumer Internet,Online Lending Platform,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity Round,13400000,nan,Karnataka
152,26-08-2018,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity Round,4200000,nan,Karnataka
153,27-08-2018,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity Round,5000000,nan,Delhi
154,28-08-2018,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bangalore,Accel (formerly known as Accel Partners),Private Equity Round,3000000,nan,Karnataka
155,30-08-2018,True North,Finance,Private Equity Firm,Mumbai,N/A,Private Equity Round,600000000,nan,Maharashtra
156,01-07-2018,Leena AI,Technology,HR Virtual Agent For Employees,Gurgaon,Y Combinator,Angel Funding,N/A,nan,Haryana
157,02-07-2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurgaon,Ajay Relan and Vinay Mittal,Angel Funding,1000000,nan,Haryana
158,04-07-2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity Round,4000000,nan,Maharashtra
159,05-May-18,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity Round,6250000,nan,Maharashtra
160,06-07-2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurgaon,Info Edge (India) Ltd and Temasek,Private Equity Round,27700000,nan,Haryana
161,09-07-2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info Edge (India) Ltd,Angel Funding,440000,nan,Karnataka
162,09-07-2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Angel Funding,1100000,nan,Karnataka
163,10-07-2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Angel Funding,437000,nan,Haryana
164,10-07-2018,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Angel Funding,N/A,nan,Delhi
165,10-07-2018,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bangalore,ResponsAbility,Private Equity Round,5000000,nan,Karnataka
166,10-07-2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity Round,5000000,nan,Maharashtra
167,11-07-2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Pune,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity Round,2500000,nan,Maharashtra
168,12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Angel Funding,180000,nan,Haryana
169,12-07-2018,5th Vital,Healthcare,Home diagnostics services provider,Bangalore,Brand Capital and Others,Angel Funding,500000,nan,Karnataka
170,13-07-2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Angel Funding,175000,nan,Rajasthan
171,17-07-2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity Round,29000000,nan,Haryana
172,17-07-2018,Cars24,Consumer Internet,Online Used Car Marketplace,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Private Equity Round,49700000,nan,Haryana
173,18-07-2018,The Ken,Consumer Internet,Subscription-Only News Website,Bangalore,Omidyar Network & Others,Angel Funding,1500000,nan,Karnataka
174,19-07-2018,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity Round,100000000,nan,Maharashtra
175,20-07-2018,HousingMan,Consumer Internet,Property Discovery Platform,Bangalore,N/A,Angel Funding,1500000,nan,Karnataka
176,21-07-2018,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity Round,18000000,nan,Maharashtra
177,23-07-2018,Yulu Bikes,Technology,Bicycle-Sharing Platform,Bangalore,N/A,Angel Funding,N/A,nan,Karnataka
178,23-07-2018,VTION,Technology,Media Analytics,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Angel Funding,280000,nan,Haryana
179,23-07-2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Angel Funding,436000,nan,Karnataka
180,24-07-2018,kidovators,Ed-Tech,Skill Learning Platform,Bangalore,Gray Matters,Angel Funding,180000,nan,Karnataka
181,24-07-2018,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity Round,45000000,nan,Maharashtra
182,25-07-2018,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity Round,17000000,nan,Maharashtra
