SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,Investorname,InvestmentnType,AmountinUSD,Remarks,State
1745,06-04-2016,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,500000,nan,Karnataka
1746,06-04-2016,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity Round,6000000,nan,Maharashtra
1747,06-04-2016,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity Round,1000000,nan,Karnataka
1748,07-04-2016,Truly Social,Consumer Internet,Mobile Gaming Studio,Kolkata,Nazara Technologies Pvt Ltd,Private Equity Round,N/A,nan,West Bengal
1749,08-04-2016,Little Black Book,Consumer Internet,"Curated Food, event & Lifestyle guide",New Delhi,"IDG, Indian Angel Network",Seed Funding,N/A,nan,Delhi
1750,08-04-2016,Vahan,Education,Mobile Education Platform,Chennai,Villgro,Seed Funding,N/A,nan,Tamil Nadu
1751,08-04-2016,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000,nan,Delhi
1752,11-04-2016,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,200000,nan,Maharashtra
1753,11-04-2016,Vegfru,eCommerce,Online Fruit & Vegetable Marketplace,New Delhi,Wingify,Seed Funding,N/A,nan,Delhi
1754,11-04-2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity Round,100000000,nan,Delhi
1755,11-04-2016,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,300000,nan,Haryana
1756,12-04-2016,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,1000000,nan,Karnataka
1757,12-04-2016,Happydemic,Consumer Internet,Artist Discovery & Booking platform,Mumbai,Shaan,Seed Funding,N/A,nan,Maharashtra
1758,12-04-2016,LenDenClub,Finance,Peer-to-Peer Lending Platform,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,N/A,nan,Maharashtra
1759,12-04-2016,Indi.com,Consumer Internet,Video Social Network,N/A,Anil Kapoor,Seed Funding,N/A,nan,N/A
1760,13-04-2016,Legalraasta,Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,1000000,nan,Delhi
1761,13-04-2016,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,150000,nan,Maharashtra
1762,13-04-2016,Hippily,eCommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,250000,nan,Maharashtra
1763,13-04-2016,kredX,eCommerce,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,"Prime Venture Partners,",Seed Funding,750000,nan,Karnataka
1764,14-04-2016,Wedwise,Consumer Internet,Wedding related services community,New Delhi,StartUp Equity Partners,Seed Funding,N/A,nan,Delhi
1765,14-04-2016,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,100000,nan,Maharashtra
1766,15-04-2016,Deal 4Loans,Consumer Internet,Loan Comparison Portal,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha",Seed Funding,N/A,nan,Uttar Pradesh
1767,15-04-2016,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed Funding,1000000,nan,Delhi
1768,15-04-2016,Blue Box Media,Consumer Internet,Online Tech Portals,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",Seed Funding,N/A,nan,Rajasthan
1769,15-04-2016,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity Round,15000000,nan,Delhi
1770,15-04-2016,Organicshop,eCommerce,Marketplace for organic products,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",Seed Funding,N/A,nan,Rajasthan
1771,15-04-2016,MInd Your Fleet,Consumer Internet,Car Rental Software,Noida,Undisclosed Investors,Seed Funding,N/A,nan,Uttar Pradesh
